"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"810","CAOD0089-B","Ozone Depleting Substances","Coolgas, Inc.","Coolgas US ODS Project 1",72682,20000,72.48%,"2011","CCO-8","Early Action",2023-02-24,2015-02-24,2015-02-24,"CAR905"
"809","CAOD0089-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas US ODS Project 1",125306,72520,42.13%,"2011","CCO-8","Early Action",2023-02-24,2015-02-24,2015-02-24,"CAR905"
"808","CALS0086-A","Livestock","CSE Operating I, LLC","CSE AZ Facility I",7402,7402,0.00%,"2011","CCO-0","Compliance",2018-04-07,2015-04-07,2015-04-07,"CAR799"
"807","CALS0093-A","Livestock","Solar & Renewables","Southern Generation",3194,3194,0.00%,"2011","CCO-0","Early Action",2018-04-07,2015-04-07,2015-04-07,"CAR806"
"806","CAFR0029-B","U.S. Forest","Mattamuskeet","Blue Source :  Alligator River",160859,110241,31.47%,"2011","CCO-8","Compliance",2023-04-07,2015-04-07,2015-04-07,"CAR497"
"805","CAOD0068-C","Ozone Depleting Substances","Pure Chem","Pure Chem Domestic ODS",38704,0,100.00%,"2011","CCO-8","Early Action",2023-05-12,2015-05-12,2015-05-12,"CAR833"
"804","CAOD0078-A","Ozone Depleting Substances","Honeywell","Honeywell ODS Destruction",49621,49621,0.00%,"2011","CCO-8","Early Action",2023-07-21,2015-07-21,2015-07-21,"CAR901"
"803","CALS0083-C","Livestock","Camco International","The Dry Creek Dairy",33024,0,100.00%,"2011","CCO-0","Compliance",2018-08-11,2015-08-11,2015-08-11,"CAR402"
"802","CALS0021-D","Livestock","Camco International","Willow Point Dairy, LLC",9695,0,100.00%,"2011","CCO-0","Early Action",2018-08-25,2015-08-25,2015-08-25,"CAR463"
"801","CAFR0088-B","U.S. Forest","Shannondale Carbon,"," Shannondale",2596,0,100.00%,"2011","CCO-0","Compliance",2018-09-08,2015-09-08,2015-09-08,"CAR780"
"800","CALS0008-C","Livestock","Environmental Credit","Miedema Dairy",1330,0,100.00%,"2011","CCO-8","Compliance",2023-09-08,2015-09-08,2015-09-08,"CAR836"
"799","CAFR0026-G","U.S. Forest","David Dicktel","Blue Source :  Pungo River",2769,2769,0.00%,"2011","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
