"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"14","CAOD5442-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2019:2",113564,113564,0.00%,"2019","CCO-8","Compliance",2027-01-07,2019-01-07,2019-05-07,"ACR442"
"13","CAOD5443-A","Ozone Depleting Substances","Reclamation","A:Gas 2019:3",114871,114871,0.00%,"2019","CCO-8","Compliance",2027-01-21,2019-01-21,2019-06-25,"ACR443"
"12","CAOD5461-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 19",85284,85284,0.00%,"2019","CCO-8","Compliance",2027-01-30,2019-01-30,2019-04-23,"ACR461"
"11","CAMM5367-C","Mine Methane","North Fork Energy,","Elk Creek Permit Area",114279,114279,0.00%,"2019","CCO-8","Compliance",2027-01-31,2019-01-31,2019-08-13,"ACR367"
"10","CAMM5407-A","Mine Methane","ECC Windsor, Inc.","BMMC1",36759,36759,0.00%,"2019","CCO-8","Compliance",2027-01-31,2019-01-31,2019-07-09,"ACR407"
"9","CAOD5445-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2019:1",54157,54157,0.00%,"2019","CCO-8","Compliance",2027-02-15,2019-02-15,2019-05-07,"ACR445"
"8","CAOD6327-A","Ozone Depleting Substances","Perfect Score Too,","Perfect Cycle ODS:4",65097,65097,0.00%,"2019","CCO-8","Compliance",2027-02-23,2019-02-23,2019-06-25,"CAR1327"
"7","CAOD5468-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 20",83032,83032,0.00%,"2019","CCO-8","Compliance",2027-02-27,2019-02-27,2019-05-21,"ACR468"
"6","CAOD5471-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 21",35887,35887,0.00%,"2019","CCO-8","Compliance",2027-03-18,2019-03-18,2019-06-25,"ACR471"
"5","CALS5020-F","Livestock","WTE Deer Run, LLC","Deer Run Digester",10483,10483,0.00%,"2019","CCO-8","Compliance",2027-03-31,2019-03-31,2019-08-27,"CAR982"
"4","CALS5021-F","Livestock","WTE Dairyland, LLC","Dairyland Digester",30811,30811,0.00%,"2019","CCO-8","Compliance",2027-03-31,2019-03-31,2019-09-10,"CAR969"
"3","CAOD5472-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 22",83594,83594,0.00%,"2019","CCO-8","Compliance",2027-04-02,2019-04-02,2019-07-23,"ACR472"
"2","CAOD5469-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2019:2",44551,44551,0.00%,"2019","CCO-8","Compliance",2027-04-22,2019-04-22,2019-07-23,"ACR469"
"1","CAOD5482-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 23",101230,101230,0.00%,"2019","CCO-8","Compliance",2027-05-12,2019-05-12,2019-07-23,"ACR482"
"116","CAFR5313-B","U.S. Forest","MWF Adirondacks,"," MWF",21450,21450,0.00%,"2018","CCO-8","Compliance",2026-01-02,2018-01-02,2019-02-26,"CAR1213"
"115","CAOD5380-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2018:2",119844,56993,52.44%,"2018","CCO-8","Compliance",2026-01-02,2018-01-02,2018-05-08,"CAR1290"
"114","CAOD5401-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 10",137262,0,100.00%,"2018","CCO-3","Compliance",2021-01-13,2018-01-13,2018-04-24,"ACR401"
"113","CAOD5330-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 25",71572,1118,98.44%,"2018","CCO-3","Compliance",2021-01-26,2018-01-26,2018-09-11,"CAR1280"
"112","CAMM5367-B","Mine Methane","North Fork Energy,","Elk Creek Permit Area",189550,189550,0.00%,"2018","CCO-3","Compliance",2021-01-31,2018-01-31,2018-06-26,"ACR367"
"111","CALS5025-E","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",3715,3715,0.00%,"2018","CCO-8","Compliance",2026-01-31,2018-01-31,2019-03-26,"CAR1002"
"110","CALS5040-D","Livestock","Scenic View Dairy,","Scenic View Dairy Methane",15697,15697,0.00%,"2018","CCO-8","Compliance",2026-01-31,2018-01-31,2019-04-23,"CAR1035"
"109","CALS5041-E","Livestock","Brook View Dairy, LLC","Brook View Dairy Methane",16761,0,100.00%,"2018","CCO-8","Compliance",2026-01-31,2018-01-31,2018-06-26,"CAR1036"
"108","CALS5045-E","Livestock","ClimeCo Corporation","T&M Herrema Dairy",6045,6045,0.00%,"2018","CCO-8","Compliance",2026-01-31,2018-01-31,2019-02-12,"CAR1056"
"107","CAFR5235-B","U.S. Forest","Massachusetts"," Massachusetts",15721,15721,0.00%,"2018","CCO-8","Compliance",2026-02-02,2018-02-02,2019-03-26,"ACR284"
"106","CAFR5204-C","U.S. Forest","Tennessee River"," Tennessee",12842,12842,0.00%,"2018","CCO-8","Compliance",2026-02-11,2018-02-11,2018-12-24,"ACR256"
"105","CAOD5389-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:3",97831,97831,0.00%,"2018","CCO-3","Compliance",2021-02-12,2018-02-12,2018-06-12,"CAR1295"
"104","CAFR5141-C","U.S. Forest","The Conservation","Garcia River Forest :  ARB",140308,140308,0.00%,"2018","CCO-8","Compliance",2026-02-14,2018-02-14,2019-02-26,"CAR1098"
"103","CAOD5404-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 11",118326,5588,95.28%,"2018","CCO-3","Compliance",2021-02-23,2018-02-23,2018-05-22,"ACR404"
"102","CALS5169-C","Livestock","TMF Biofuels, LLC","TMF Biofuels Dairy Digester",67489,67489,0.00%,"2018","CCO-8","Compliance",2026-02-28,2018-02-28,2019-08-13,"CAR1169"
"101","CALS5332-C","Livestock","Arlin Benner","Yippee Farms",7280,7280,0.00%,"2018","CCO-8","Compliance",2026-02-28,2018-02-28,2019-04-09,"CAR1232"
"100","CAFR5198-C","U.S. Forest","Heartwood Forestland"," The",111204,111204,0.00%,"2018","CCO-8","Compliance",2026-03-23,2018-03-23,2019-08-13,"ACR248"
"99","CALS5020-E","Livestock","WTE Deer Run, LLC","Deer Run Digester",6845,6845,0.00%,"2018","CCO-3","Compliance",2021-03-31,2018-03-31,2018-10-23,"CAR982"
"98","CALS5021-E","Livestock","WTE Dairyland, LLC","Dairyland Digester",26920,26920,0.00%,"2018","CCO-3","Compliance",2021-03-31,2018-03-31,2018-10-09,"CAR969"
"97","CALS5019-E","Livestock","WTE Wakker, LLC","Wakker Digester",9146,9146,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-11-27,"CAR989"
"96","CALS5030-C","Livestock","WTE-S&S Ag","WTE:S&S Ag Enterprises, LLC",11991,11991,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-09-25,"CAR965"
"95","CALS5074-E","Livestock","CSE Operating I, LLC","CSE Arizona Facility",13633,13633,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-11-13,"CAR1076"
"94","CALS5122-D","Livestock","Bridgewater Dairy,","Bridgewater Dairy LLC",12622,12622,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-02-12,"CAR1122"
"93","CALS5123-D","Livestock","Central Sands Dairy,","Central Sands Dairy, LLC",15002,15002,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-10-23,"CAR1123"
"92","CALS5124-D","Livestock","Willow Point Dairy,","Willow Point Dairy, LLC",16220,16220,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-10-09,"CAR1124"
"91","CALS5146-C","Livestock","WTE-Dallmann, LLC","WTE:Dallmann, LLC",15998,15998,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-04-09,"CAR1143"
"90","CALS5153-C","Livestock","Holsum Dairies, LLC","Holsum Elm Dairy",13189,13189,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-04-09,"CAR1153"
"89","CALS5154-D","Livestock","Holsum Dairies, LLC","Holsum Irish Dairy",9087,9087,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-04-23,"CAR1154"
"88","CALS5284-C","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",2289,2289,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-03-26,"CAR1184"
"87","CALS5355-B","Livestock","3Degrees Group, Inc.","Greenwood Dairy Anaerobic",7495,7495,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2018-10-23,"ACR355"
"86","CALS5390-A","Livestock","3Degrees Group, Inc.","Clean Fuel Partners Dane",17208,17208,0.00%,"2018","CCO-8","Compliance",2026-03-31,2018-03-31,2019-05-21,"ACR390"
"85","CAFR5106-C","U.S. Forest","The Conservation","Big River / Salmon Creek",66028,66028,0.00%,"2018","CCO-8","Compliance",2026-04-15,2018-04-15,2019-05-07,"CAR1100"
"84","CAOD5329-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 24",56727,7620,86.57%,"2018","CCO-3","Compliance",2021-04-24,2018-04-24,2018-09-25,"CAR1279"
"83","CAFR5130-D","U.S. Forest","MWF Brimstone"," MWF",9129,9129,0.00%,"2018","CCO-8","Compliance",2026-04-30,2018-04-30,2019-05-21,"CAR1130"
"82","CALS5077-E","Livestock","Solar & Renewables","Stotz Southern Generation",18887,18887,0.00%,"2018","CCO-8","Compliance",2026-04-30,2018-04-30,2019-01-08,"CAR1078"
"81","CALS5180-C","Livestock","Green Valley Dairy,","Green Valley Dairy Methane",19940,19940,0.00%,"2018","CCO-8","Compliance",2026-04-30,2018-04-30,2018-10-09,"CAR1106"
"80","CAOD5399-A","Ozone Depleting Substances","Irony, LLC","Irony",8330,8330,0.00%,"2018","CCO-8","Compliance",2026-04-30,2018-04-30,2019-01-22,"CAR1289"
"79","CAOD5405-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:4",110290,15000,86.40%,"2018","CCO-8","Compliance",2026-05-02,2018-05-02,2018-08-07,"CAR1296"
"78","CAOD5419-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 12",132126,114059,13.67%,"2018","CCO-8","Compliance",2026-05-03,2018-05-03,2018-06-26,"ACR419"
"77","CAOD6308-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2018:6",60855,34619,43.11%,"2018","CCO-8","Compliance",2026-05-07,2018-05-07,2018-09-25,"CAR1308"
"76","CAOD6303-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:5",102700,26047,74.64%,"2018","CCO-3","Compliance",2021-05-11,2018-05-11,2018-09-25,"CAR1303"
"75","CAFR5237-A","U.S. Forest","CTB Timberland","Green Assets :  BJT Avoided",243527,243527,0.00%,"2018","CCO-8","Compliance",2026-05-13,2018-05-13,2019-04-09,"ACR287"
"74","CAOD6300-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 26",123703,123703,0.00%,"2018","CCO-8","Compliance",2026-05-16,2018-05-16,2019-01-22,"CAR1300"
"73","CAFR5055-E","U.S. Forest","Sustainable","Buckeye Forest Project",95801,95801,0.00%,"2018","CCO-8","Compliance",2026-05-31,2018-05-31,2019-05-21,"CAR1013"
"72","CAFR5137-C","U.S. Forest","The Conservation","Gualala River Forest :  ARB",77637,77637,0.00%,"2018","CCO-8","Compliance",2026-05-31,2018-05-31,2019-02-26,"CAR1099"
"71","CAFR5309-B","U.S. Forest","Wolf River ATP, LP","Blue Source :  Wolf River",16976,16976,0.00%,"2018","CCO-8","Compliance",2026-05-31,2018-05-31,2019-07-23,"CAR1209"
"70","CALS5346-B","Livestock","Woodcrest Dairy, LLC","Woodcrest Dairy Digester",11920,11920,0.00%,"2018","CCO-8","Compliance",2026-05-31,2018-05-31,2018-11-13,"CAR1246"
"69","CAOD6301-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 27",50473,50473,0.00%,"2018","CCO-8","Compliance",2026-06-02,2018-06-02,2019-01-22,"CAR1301"
"68","CAFR5208-B","U.S. Forest","Holland M. Ware","Green Assets :  HMWCF:I",813211,813211,0.00%,"2018","CCO-8","Compliance",2026-06-23,2018-06-23,2019-09-24,"ACR268"
"67","CAFR5209-A","U.S Forest","Holland M. Ware","Green Assets :  HMWCF:II",548909,548909,0.00%,"2018","CCO-8","Compliance",2026-06-24,2018-06-24,2019-05-07,"ACR269"
"66","CAOD6305-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:7",159218,0,100.00%,"2018","CCO-8","Compliance",2026-06-29,2018-06-29,2018-10-09,"CAR1305"
"65","CAFR5043-E","U.S. Forest","Goodman Forest, LLC","Blue Source :  Goodman",21278,21278,0.00%,"2018","CCO-8","Compliance",2026-06-30,2018-06-30,2019-07-23,"ACR202"
"64","CAFR5232-C","U.S. Forest","Western Rivers","Blue Creek",70531,70531,0.00%,"2018","CCO-8","Compliance",2026-06-30,2018-06-30,2019-02-26,"ACR282"
"63","CAFR5280-C","U.S. Forest","Mailliard Ranch, a","Mailliard Ranch",41253,41253,0.00%,"2018","CCO-8","Compliance",2026-06-30,2018-06-30,2019-08-27,"CAR1180"
"62","CALS5322-B","Livestock","Statz Bros., Inc.","Statz Bros. Home Farm",9196,9196,0.00%,"2018","CCO-8","Compliance",2026-06-30,2018-06-30,2019-01-22,"ACR322"
"61","CALS5323-B","Livestock","Statz Bros., Inc.","Statz B Farm Anaerobic",15226,15226,0.00%,"2018","CCO-8","Compliance",2026-06-30,2018-06-30,2019-01-22,"ACR323"
"60","CAOD5426-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 13",140145,30914,77.94%,"2018","CCO-3","Compliance",2021-07-16,2018-07-16,2018-09-25,"ACR426"
"59","CAFR5084-E","U.S. Forest","Potlatch Forest"," Potlatch Moro",13386,13386,0.00%,"2018","CCO-8","Compliance",2026-07-26,2018-07-26,2019-09-24,"CAR1086"
"58","CAFR5234-B","U.S. Forest","Green Diamond","Green Diamond Resource",97806,97806,0.00%,"2018","CCO-8","Compliance",2026-07-31,2018-07-31,2019-08-27,"ACR274"
"57","CALS5128-D","Livestock","Farm Power","Farm Power Lynden Anaerobic",9600,9600,0.00%,"2018","CCO-8","Compliance",2026-07-31,2018-07-31,2019-02-26,"CAR1128"
"56","CALS5289-C","Livestock","3Degrees Group, Inc.","Homestead Green Energy",5491,5491,0.00%,"2018","CCO-8","Compliance",2026-07-31,2018-07-31,2019-01-22,"ACR259"
"55","CALS5388-A","Livestock","GJ TeVelde Ranch","GJ TeVelde Ranch Dairy",27942,27942,0.00%,"2018","CCO-8","Compliance",2026-07-31,2018-07-31,2019-02-12,"CAR1288"
"54","CAOD6302-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 28",58745,58745,0.00%,"2018","CCO-3","Compliance",2021-08-10,2018-08-10,2019-01-22,"CAR1302"
"53","CAFR5297-B","U.S. Forest","Upper Hudson"," Upper Hudson",89273,89273,0.00%,"2018","CCO-8","Compliance",2026-08-11,2018-08-11,2019-09-10,"CAR1197"
"52","CAOD6311-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:8",128012,128012,0.00%,"2018","CCO-8","Compliance",2026-08-12,2018-08-12,2018-12-24,"CAR1311"
"51","CAFR5105-D","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",42846,42846,0.00%,"2018","CCO-8","Compliance",2026-08-14,2018-08-14,2019-06-25,"CAR1109"
"50","CAOD6309-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 29",97696,97696,0.00%,"2018","CCO-8","Compliance",2026-08-24,2018-08-24,2019-06-25,"CAR1309"
"49","CALS5183-B","Livestock","ABEC Bidart-Old","CalBio ORRD Project",45371,45371,0.00%,"2018","CCO-8","Compliance",2026-08-25,2018-08-25,2019-05-21,"CAR1136"
"48","CAOD6312-A","Ozone Depleting Substances","Reclamation","A:Gas 2018:9",93703,93703,0.00%,"2018","CCO-8","Compliance",2026-08-27,2018-08-27,2018-12-24,"CAR1312"
"47","CALS5139-D","Livestock","Edaleen Cow Power,","Edaleen Cow Power, LLC",7390,7390,0.00%,"2018","CCO-8","Compliance",2026-08-31,2018-08-31,2019-03-26,"ACR239"
"46","CALS5365-B","Livestock","Philip Verwey Farms","Verwey Hanford Dairy Digester",40057,40057,0.00%,"2018","CCO-8","Compliance",2026-08-31,2018-08-31,2019-09-24,"CAR1265"
"45","CAOD5429-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 14",141087,41087,70.88%,"2018","CCO-3","Compliance",2021-09-07,2018-09-07,2018-10-23,"ACR429"
"44","CAFR5096-E","U.S. Forest","Coastal Forestlands,","Brushy Mountain",66289,66289,0.00%,"2018","CCO-8","Compliance",2026-09-30,2018-09-30,2019-03-12,"CAR1095"
"43","CALS5032-F","Livestock","New Energy One, LLC","New Energy One Livestock",33297,33297,0.00%,"2018","CCO-8","Compliance",2026-09-30,2018-09-30,2019-08-27,"CAR1022"
"42","CALS5109-D","Livestock","Dairy Dreams, LLC","Dairy Dreams Methane",5277,5277,0.00%,"2018","CCO-8","Compliance",2026-09-30,2018-09-30,2019-08-27,"CAR1097"
"41","CALS5349-C","Livestock","3Degrees Group, Inc.","Kettle Butte Digester",24674,24674,0.00%,"2018","CCO-8","Compliance",2026-09-30,2018-09-30,2019-09-24,"ACR349"
"40","CAOD5431-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 15",52322,52322,0.00%,"2018","CCO-3","Compliance",2021-10-11,2018-10-11,2019-01-08,"ACR431"
"39","CAOD5433-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 16",148592,148592,0.00%,"2018","CCO-8","Compliance",2026-10-18,2018-10-18,2019-01-08,"ACR433"
"38","CAFR5205-D","U.S. Forest","Lukens Island Timber","Green Assets :  Lukens",10582,10582,0.00%,"2018","CCO-8","Compliance",2026-10-29,2018-10-29,2019-08-13,"ACR265"
"37","CALS5245-C","Livestock","Open Sky Ranch, Inc.","Open Sky Ranch Dairy Digester",21275,21275,0.00%,"2018","CCO-8","Compliance",2026-10-31,2018-10-31,2019-07-23,"CAR1178"
"36","CALS5134-D","Livestock","Alliance Dairies","Alliance Dairy",15864,15864,0.00%,"2018","CCO-8","Compliance",2026-11-05,2018-11-05,2019-04-23,"ACR234"
"35","CAOD5435-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 17",105029,105029,0.00%,"2018","CCO-8","Compliance",2026-11-05,2018-11-05,2019-01-08,"ACR435"
"34","CALS5319-B","Livestock","Lamb Farms, Inc.","Lambs Dairy Digester",13090,13090,0.00%,"2018","CCO-8","Compliance",2026-11-15,2018-11-15,2019-05-21,"CAR1253"
"33","CAOD5436-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 18",96146,96146,0.00%,"2018","CCO-8","Compliance",2026-11-23,2018-11-23,2019-01-22,"ACR436"
"32","CAOD5432-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2018:1",21967,21967,0.00%,"2018","CCO-8","Compliance",2026-11-25,2018-11-25,2019-02-12,"ACR432"
"31","CALS5181-D","Livestock","Gardeau Crest Farms,","Gardeau Crest Dairy",13636,13636,0.00%,"2018","CCO-8","Compliance",2026-11-26,2018-11-26,2019-06-25,"ACR241"
"30","CAOD6318-A","Ozone Depleting Substances","Reclamation","A:Gas 2019:1",138241,138241,0.00%,"2018","CCO-8","Compliance",2026-11-26,2018-11-26,2019-05-21,"CAR1318"
"29","CALS5138-D","Livestock","Willet Dairy, LLC","Willet Dairy",16178,16178,0.00%,"2018","CCO-8","Compliance",2026-11-29,2018-11-29,2019-08-13,"ACR238"
"28","CALS5135-D","Livestock","Synergy Biogas, LLC","Synergy Biogas, LLC",6257,6257,0.00%,"2018","CCO-8","Compliance",2026-11-30,2018-11-30,2019-09-10,"ACR235"
"27","CALS5263-D","Livestock","Davis Family Dairies,","High Island Dairy",15347,15347,0.00%,"2018","CCO-8","Compliance",2026-11-30,2018-11-30,2019-08-13,"ACR313"
"26","CALS5325-A","Livestock","Swiss Valley Farms,","Swiss Valley Farms",6519,6519,0.00%,"2018","CCO-8","Compliance",2026-11-30,2018-11-30,2019-05-21,"CAR1283"
"25","CAMM5403-A","Mine Methane","Global Carbon","Bluesource GCS Bear Canyon",59904,59904,0.00%,"2018","CCO-8","Compliance",2026-11-30,2018-11-30,2019-06-11,"ACR403"
"24","CAOD6310-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 30",140146,140146,0.00%,"2018","CCO-8","Compliance",2026-12-06,2018-12-06,2019-07-09,"CAR1310"
"23","CAFR5206-D","U.S. Forest","Milbury Plantation,","Green Assets :  Milbury",210635,210635,0.00%,"2018","CCO-8","Compliance",2026-12-10,2018-12-10,2019-09-24,"ACR266"
"22","CALS5108-D","Livestock","Ag Power Jerome,","Double A Dairy",57195,57195,0.00%,"2018","CCO-8","Compliance",2026-12-21,2018-12-21,2019-07-23,"ACR233"
"21","CAOD6326-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 31",56139,56139,0.00%,"2018","CCO-8","Compliance",2026-12-24,2018-12-24,2019-07-23,"CAR1326"
"20","CALS5107-D","Livestock","Ag Power DCD, LLC","The Dry Creek Dairy Biofactory",53275,53275,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-07-23,"ACR232"
"19","CALS5132-E","Livestock","RES Agriculture NC1,","RES Ag :  DM4:3 LLC",8358,8358,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-09-24,"CAR1132"
"18","CALS5133-E","Livestock","RES Agriculture NC1,","RES Ag :  DM2:1 LLC",4928,4928,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-09-24,"CAR1133"
"17","CAMM5100-E","Mine Methane","McElroy Green","Marshall County VAM",225935,225935,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-08-27,"ACR226"
"16","CAMM5172-A","Mine Methane","Vessels Cambria 33","Cambria 33 Abandoned Mine",22118,22118,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-06-11,"ACR242"
"15","CAMM5244-C","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",195079,195079,0.00%,"2018","CCO-8","Compliance",2026-12-31,2018-12-31,2019-06-25,"ACR388 (RP2-RP3)"
"264","CALS5120-B","Livestock","Fair Oaks Dairy Farm,","Fair Oaks Dairy Farm LLC",67868,67868,0.00%,"2017","CCO-8","Compliance",2024-08-31,2016-08-31,2017-04-25,"CAR1120"
"263","CALS5032-D","Livestock","New Energy One, LLC","New Energy One Livestock",37836,0,100.00%,"2017","CCO-8","Compliance",2024-09-30,2016-09-30,2017-02-21,"CAR1022"
"262","CAFR5313-A","U.S. Forest","MWF Adirondacks,"," MWF",903035,903035,0.00%,"2017","CCO-8","Compliance",2025-01-02,2017-01-02,2018-10-23,"CAR1213"
"261","CAOD5298-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:1",141207,67701,52.06%,"2017","CCO-3","Compliance",2020-01-13,2017-01-13,2017-04-11,"CAR1249"
"260","CALS5040-C","Livestock","Scenic View Dairy,","Scenic View Dairy Methane",20421,0,100.00%,"2017","CCO-3","Compliance",2020-01-31,2017-01-31,2017-06-13,"CAR1035"
"259","CALS5041-D","Livestock","Brook View Dairy, LLC","Brook View Dairy Methane",17178,0,100.00%,"2017","CCO-3","Compliance",2020-01-31,2017-01-31,2017-06-13,"CAR1036"
"258","CALS5045-D","Livestock","ClimeCo Corporation","T&M Herrema Dairy",14483,0,100.00%,"2017","CCO-3","Compliance",2020-01-31,2017-01-31,2018-10-26,"CAR1056"
"257","CAMM5367-A","Mine Methane","North Fork Energy,","Elk Creek Permit Area",230848,211366,8.44%,"2017","CCO-3","Compliance",2020-01-31,2017-01-31,2017-10-10,"ACR367"
"256","CAOD5348-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2016:4",96564,8793,90.89%,"2017","CCO-3","Compliance",2020-01-31,2017-01-31,2017-04-11,"CAR1248"
"255","CALS5025-D","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",4397,4397,0.00%,"2017","CCO-8","Compliance",2025-01-31,2017-01-31,2019-03-26,"CAR1002"
"254","CAOD5357-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 357",84131,22394,73.38%,"2017","CCO-8","Compliance",2025-01-31,2017-01-31,2017-04-11,"ACR357"
"253","CAOD5363-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 4",91819,91819,0.00%,"2017","CCO-3","Compliance",2020-02-01,2017-02-01,2017-04-11,"ACR363"
"252","CAFR5235-A","U.S. Forest","Massachusetts"," Massachusetts",640002,60000,90.63%,"2017","CCO-3","Compliance",2020-02-02,2017-02-02,2018-10-09,"ACR284"
"251","CAOD5321-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",55471,0,100.00%,"2017","CCO-3","Compliance",2020-02-10,2017-02-10,2017-07-25,"CAR1251"
"250","CAFR5204-B","U.S. Forest","Tennessee River"," Tennessee",12842,12842,0.00%,"2017","CCO-8","Compliance",2025-02-11,2017-02-11,2018-12-24,"ACR256"
"249","CAFR5141-B","U.S. Forest","The Conservation","Garcia River Forest :  ARB",126781,76781,39.44%,"2017","CCO-8","Compliance",2025-02-14,2017-02-14,2018-06-26,"CAR1098"
"248","CAOD5318-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:2",140916,1e+05,29.04%,"2017","CCO-3","Compliance",2020-02-25,2017-02-25,2017-06-13,"CAR1252"
"247","CALS5169-B","Livestock","TMF Biofuels, LLC","TMF Biofuels Dairy Digester",54717,54717,0.00%,"2017","CCO-3","Compliance",2020-02-28,2017-02-28,2018-06-26,"CAR1169"
"246","CALS5332-B","Livestock","Arlin Benner","Yippee Farms",6875,6875,0.00%,"2017","CCO-8","Compliance",2025-02-28,2017-02-28,2019-04-09,"CAR1232"
"245","CAFR5377-A","U.S. Forest","California Timberlands","Cappell Creek Improved Forest",302769,302769,0.00%,"2017","CCO-8","Compliance",2025-03-16,2017-03-16,2018-10-23,"ACR377"
"244","CAFR5378-A","U.S. Forest","California Timberlands","Lord Ellis Improved Forest",290915,290915,0.00%,"2017","CCO-8","Compliance",2025-03-16,2017-03-16,2018-11-13,"ACR378"
"243","CAOD5320-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:3",140698,0,100.00%,"2017","CCO-8","Compliance",2025-03-17,2017-03-17,2017-07-11,"CAR1254"
"242","CAFR5198-B","U.S. Forest","Heartwood Forestland"," The",242228,242228,0.00%,"2017","CCO-8","Compliance",2025-03-23,2017-03-23,2019-02-12,"ACR248"
"241","CAOD5370-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 5",121455,0,100.00%,"2017","CCO-3","Compliance",2020-03-24,2017-03-24,2017-06-27,"ACR370"
"240","CALS5019-D","Livestock","WTE Wakker, LLC","Wakker Digester",13433,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-11-07,"CAR989"
"239","CALS5020-D","Livestock","WTE Deer Run, LLC","Deer Run Digester",9352,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-11-07,"CAR982"
"238","CALS5021-D","Livestock","WTE Dairyland, LLC","Dairyland Digester",27406,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-11-21,"CAR969"
"237","CALS5030-B","Livestock","WTE-S&S Ag","WTE:S&S Ag Enterprises, LLC",20416,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-09-12,"CAR965"
