,Offset.Project.Operator,Project.Name,Project Type,tot,Project Owner,Website
86,"Coolgas, Inc.",Coolgas ODS 2013 Project #1,Ozone Depleting Substances,108627,A-Gas,https://www.agas.com/
87,"Coolgas, Inc.",Coolgas US ODS Project 1,Ozone Depleting Substances,197988,A-Gas,https://www.agas.com/
88,"Coolgas, Inc.",Coolgas US ODS Project 2,Ozone Depleting Substances,163884,A-Gas,https://www.agas.com/
195,"Keyrock Energy, LLC",Corinth Abandoned Mine,Mine Methane,1189749,Keyrock Energy Inc,0
161,"Gallo Cattle Company,",Cottonwood Dairy Livestock,Livestock,58567,Gallo Cattle Company,
172,Grey K Trading,Cottonwood Dairy Livestock,Livestock,44675,Grey K Trading,
90,"Cow Poo, LLC",Cow Poo Digester,Livestock,7781,"Cow Poo, LLC",0
109,Environmental Credit,Coyne Farms,Livestock,2314,ClimeCo,https://climeco.com/
91,"CSE Operating I, LLC",CSE Arizona Facility,Livestock,68814,Center for Sustainable Energy,https://energycenter.org/
92,"CSE Operating I, LLC",CSE AZ Facility I,Livestock,21814,Center for Sustainable Energy,https://energycenter.org/
95,"Dairy Dreams, LLC",Dairy Dreams,Livestock,65164,Native Energy,https://nativeenergy.com/
96,"Dairy Dreams, LLC",Dairy Dreams Methane,Livestock,60092,Native Energy,https://nativeenergy.com/
365,"WTE Dairyland, LLC",Dairyland Digester,Livestock,108462,WTE Dairies,0
366,"WTE Deer Run, LLC",Deer Run Digester,Livestock,31414,WTE Dairies,0
31,Camco International,District 45 Dairy,Livestock,57676,Camco International,https://www.camco.energy/
279,"Riverview, LLP",District 45 Dairy,Livestock,59593,Riverview LLP,https://www.riverviewllp.com/
8,"Ag Power Jerome,",Double A Dairy,Livestock,227049,Camco International,https://www.camco.energy/
32,Camco International,Double A Dairy,Livestock,131435,Camco International,https://www.camco.energy/
101,Diversified Pure,DPC Domestic ODS,Ozone Depleting Substances,1116126,Camco International,https://www.camco.energy/
113,Environmental Credit,ECC ODS Destruction 11-2013,Ozone Depleting Substances,113438,ClimeCo,https://climeco.com/
115,Environmental Credit,ECC ODS Destruction 2012,Ozone Depleting Substances,306517,ClimeCo,https://climeco.com/
116,Environmental Credit,ECC ODS Destruction 2013,Ozone Depleting Substances,255227,ClimeCo,https://climeco.com/
114,Environmental Credit,ECC ODS Destruction 2-2014,Ozone Depleting Substances,126314,ClimeCo,https://climeco.com/
110,Environmental Credit,ECC-ODS-CA-002,Ozone Depleting Substances,27951,ClimeCo,https://climeco.com/
111,Environmental Credit,ECC-ODS-PA-001,Ozone Depleting Substances,310672,ClimeCo,https://climeco.com/
112,Environmental Credit,ECC-ODS-PA-003,Ozone Depleting Substances,350673,ClimeCo,https://climeco.com/
33,Camco International,"Edaleen Cow Power, LLC",Livestock,16901,Camco International,https://www.camco.energy/
104,"Edaleen Cow Power,","Edaleen Cow Power, LLC",Livestock,32952,Camco International,https://www.camco.energy/
220,"North Fork Energy,",Elk Creek Coal Mine Methane,Mine Methane,266263,Vessels Coal Inc,vesselscoalgas.com/
343,"Vessels Coal Gas, Inc.",Elk Creek Coal Mine Methane,Mine Methane,432609,Vessels Coal Inc,vesselscoalgas.com/
221,"North Fork Energy,",Elk Creek Permit Area,Mine Methane,420398,Vessels Coal Inc,vesselscoalgas.com/
129,"EOS Climate, Inc.",EOS ACR 2013,Ozone Depleting Substances,249025,Blue Source,http://www.bluesource.com/
130,"EOS Climate, Inc.",EOS ACR 213,Ozone Depleting Substances,127664,Blue Source,http://www.bluesource.com/
131,"EOS Climate, Inc.",EOS ACR 214,Ozone Depleting Substances,145580,Blue Source,http://www.bluesource.com/
132,"EOS Climate, Inc.",EOS ACR 240,Ozone Depleting Substances,129700,Blue Source,http://www.bluesource.com/
133,"EOS Climate, Inc.",EOS ACR 252,Ozone Depleting Substances,140736,Blue Source,http://www.bluesource.com/
134,"EOS Climate, Inc.",EOS ACR 253,Ozone Depleting Substances,135017,Blue Source,http://www.bluesource.com/
135,"EOS Climate, Inc.",EOS ACR 271,Ozone Depleting Substances,124882,Blue Source,http://www.bluesource.com/
136,"EOS Climate, Inc.",EOS ACR 285,Ozone Depleting Substances,45663,Blue Source,http://www.bluesource.com/
137,"EOS Climate, Inc.",EOS ACR 311,Ozone Depleting Substances,107264,Blue Source,http://www.bluesource.com/
138,"EOS Climate, Inc.",EOS ACR 312,Ozone Depleting Substances,140871,Blue Source,http://www.bluesource.com/
139,"EOS Climate, Inc.",EOS ACR 315,Ozone Depleting Substances,86839,Blue Source,http://www.bluesource.com/
140,"EOS Climate, Inc.",EOS ACR 316,Ozone Depleting Substances,104897,Blue Source,http://www.bluesource.com/
141,"EOS Climate, Inc.",EOS ACR 351,Ozone Depleting Substances,28562,Blue Source,http://www.bluesource.com/
142,"EOS Climate, Inc.",EOS ACR 352,Ozone Depleting Substances,68637,Blue Source,http://www.bluesource.com/
143,"EOS Climate, Inc.",EOS ACR 356,Ozone Depleting Substances,110720,Blue Source,http://www.bluesource.com/
144,"EOS Climate, Inc.",EOS ACR 357,Ozone Depleting Substances,84131,Blue Source,http://www.bluesource.com/
145,"EOS Climate, Inc.",EOS ACR 358,Ozone Depleting Substances,60749,Blue Source,http://www.bluesource.com/
146,"EOS Climate, Inc.",EOS ARB ODS 2013-1,Ozone Depleting Substances,107542,Blue Source,http://www.bluesource.com/
147,"EOS Climate, Inc.",EOS ARB ODS 2013-2,Ozone Depleting Substances,55996,Blue Source,http://www.bluesource.com/
148,"EOS Climate, Inc.",EOS ARB ODS 2013-3,Ozone Depleting Substances,122800,Blue Source,http://www.bluesource.com/
149,"EOS Climate, Inc.",EOS ARB ODS 2013-5,Ozone Depleting Substances,126155,Blue Source,http://www.bluesource.com/
150,"EOS Climate, Inc.",EOS ARB ODS 2013-6,Ozone Depleting Substances,51864,Blue Source,http://www.bluesource.com/
151,"EOS Climate, Inc.",EOS ARB ODS 2013-7,Ozone Depleting Substances,84418,Blue Source,http://www.bluesource.com/
152,"EOS Climate, Inc.",EOS ARB ODS 2013-8,Ozone Depleting Substances,67490,Blue Source,http://www.bluesource.com/
153,"EOS Climate, Inc.",EOS ARB ODS 2014-1,Ozone Depleting Substances,122080,Blue Source,http://www.bluesource.com/
154,"EOS Climate, Inc.",EOS ARB ODS 2014-2,Ozone Depleting Substances,33214,Blue Source,http://www.bluesource.com/
155,"EOS Climate, Inc.",EOS CAR 1074,Ozone Depleting Substances,57134,Blue Source,http://www.bluesource.com/
126,"EOS Climate, Inc.",EOS-2013 Domestic,Ozone Depleting Substances,366729,Blue Source,http://www.bluesource.com/
127,"EOS Climate, Inc.",EOS-CAR2011 Domestic,Ozone Depleting Substances,648454,Blue Source,http://www.bluesource.com/
128,"EOS Climate, Inc.",EOS-JA-09-01,Ozone Depleting Substances,1017016,Blue Source,http://www.bluesource.com/
156,"Fair Oaks Dairy Farm,",Fair Oaks Dairy Farm LLC,Livestock,132079,Fair Oaks Dairy,https://fofarms.com/
34,Camco International,"Fair Oaks Dairy Farm, LLC",Livestock,171205,Camco International,https://www.camco.energy/
157,Farm Power,Farm Power Lynden Anaerobic,Livestock,51336,Farm Power Lynden,https://www.farmpower.com/
303,The Climate Trust,Farm Power Lynden Anaerobic,Livestock,10426,The Climate Trust,https://climatetrust.org/
117,Environmental Credit,Fessenden Dairy,Livestock,2027,The Climate Trust,https://climatetrust.org/
232,Passamaquoddy Joint,Finite Carbon –,U.S. Forest,3430380,Finite Carbon,https://www.finitecarbon.com/
9,"Ahtna, Incorporated",Finite Carbon – Ahtna Native,U.S. Forest,12502637,Finite Carbon,https://www.finitecarbon.com/
12,AMC Maine Woods,Finite Carbon – AMC Silver,U.S. Forest,139152,Finite Carbon,https://www.finitecarbon.com/
18,"Berry Summit, LLC",Finite Carbon – Berry Summit,U.S. Forest,196786,Finite Carbon,https://www.finitecarbon.com/
219,Norfolk Southern,Finite Carbon – Brosnan Forest,U.S. Forest,286277,Finite Carbon,https://www.finitecarbon.com/
74,Confederated Tribes,Finite Carbon – Colville IFM,U.S. Forest,12336210,Finite Carbon,https://www.finitecarbon.com/
194,Jackson Timberland,Finite Carbon – JTO Champion,U.S. Forest,889885,Finite Carbon,https://www.finitecarbon.com/
166,"GLS Woodlands, LLC",Finite Carbon – Lyme Grand,U.S. Forest,484167,Finite Carbon,https://www.finitecarbon.com/
202,Massachusetts,Finite Carbon – Massachusetts,U.S. Forest,655723,Finite Carbon,https://www.finitecarbon.com/
89,"Corrigan TLP, LLC",Finite Carbon – Molpus Ataya,U.S. Forest,2576141,Finite Carbon,https://www.finitecarbon.com/
213,"MWF Adirondacks,",Finite Carbon – MWF,U.S. Forest,924485,Finite Carbon,https://www.finitecarbon.com/
214,MWF Brimstone,Finite Carbon – MWF,U.S. Forest,239305,Finite Carbon,https://www.finitecarbon.com/
217,New England Forestry,Finite Carbon – NEFF,U.S. Forest,55767,Finite Carbon,https://www.finitecarbon.com/
240,Potlatch Forest,Finite Carbon – Potlatch Moro,U.S. Forest,278080,Finite Carbon,https://www.finitecarbon.com/
287,Sealaska Corporation,Finite Carbon – Sealaska,U.S. Forest,9599861,Finite Carbon,https://www.finitecarbon.com/
288,"Shannondale Carbon,",Finite Carbon – Shannondale,U.S. Forest,137536,Finite Carbon,https://www.finitecarbon.com/
302,Tennessee River,Finite Carbon – Tennessee,U.S. Forest,298672,Finite Carbon,https://www.finitecarbon.com/
178,Heartwood Forestland,Finite Carbon – The,U.S. Forest,2626763,Finite Carbon,https://www.finitecarbon.com/
77,Connecticut Lakes,Finite Carbon – The Forestland,U.S. Forest,1507190,Finite Carbon,https://www.finitecarbon.com/
179,Heartwood Forestland,Finite Carbon – The Forestland,U.S. Forest,134809,Finite Carbon,https://www.finitecarbon.com/
335,Upper Hudson,Finite Carbon – Upper Hudson,U.S. Forest,1139633,Finite Carbon,https://www.finitecarbon.com/
