,Offset.Project Operator,Project.Name,Project Type,tot,Project Owner ,Website,City,State
107,Edward Miller,Miller Forest,U.S. Forest,243201,Edward Miller Trust,,Willow Creek ,CA
108,Environmental Credit Corp,Bos Dairy,Livestock,4077,ClimeCo,https://climeco.com/,Fair Oaks,IN
109,Environmental Credit Corp,Coyne Farms,Livestock,2314,ClimeCo,https://climeco.com/,Avon ,NY
110,Environmental Credit Corp,ECC-ODS-CA-002,Ozone Depleting Substances,27951,ClimeCo,https://climeco.com/,El Dorado,AR
111,Environmental Credit Corp,ECC-ODS-PA-001,Ozone Depleting Substances,310672,ClimeCo,https://climeco.com/,El Dorado,AR
112,Environmental Credit Corp,ECC-ODS-PA-003,Ozone Depleting Substances,350673,ClimeCo,https://climeco.com/,El Dorado,AR
113,Environmental Credit Corp,ECC ODS Destruction 11-2013,Ozone Depleting Substances,113438,ClimeCo,https://climeco.com/,El Dorado,AR
114,Environmental Credit Corp,ECC ODS Destruction 2-2014,Ozone Depleting Substances,126314,ClimeCo,https://climeco.com/,El Dorado,AR
115,Environmental Credit Corp,ECC ODS Destruction 2012,Ozone Depleting Substances,306517,ClimeCo,https://climeco.com/,El Dorado,AR
116,Environmental Credit Corp,ECC ODS Destruction 2013,Ozone Depleting Substances,255227,ClimeCo,https://climeco.com/,El Dorado,AR
117,Environmental Credit Corp,Fessenden Dairy,Livestock,2027,ClimeCo,https://climeco.com/,King Ferry,New York
118,Environmental Credit Corp,Herrema Dairy,Livestock,19480,ClimeCo,https://climeco.com/,Fair Oaks,Indiana
119,Environmental Credit Corp,Hidden View Dairy,Livestock,36730,ClimeCo,https://climeco.com/,Rensselaer,Indiana
120,Environmental Credit Corp,Miedema Dairy,Livestock,3668,ClimeCo,https://climeco.com/,Circleville,OH
121,Environmental Credit Corp,Patterson Farms,Livestock,7682,ClimeCo,https://climeco.com/,Auburn,NY
122,Environmental Credit Corp,Ridgecrest Dairy,Livestock,1177,ClimeCo,https://climeco.com/,Auburn,NY
123,Environmental Credit Corp,Will-O-Crest Farms Livestock,Livestock,2376,ClimeCo,https://climeco.com/,Canandaigua,NY
124,Environmental Credit Corp,Windy Ridge Dairy,Livestock,37535,ClimeCo,https://climeco.com/,Fair Oaks,IN
125,EOS Climate (Blue Source),2014-P4,Ozone Depleting Substances,71825,Blue Source,http://www.bluesource.com/,El Dorado,AR
126,EOS Climate (Blue Source),EOS-2013 Domestic,Ozone Depleting Substances,366729,Blue Source,http://www.bluesource.com/,El Dorado,AR
127,EOS Climate (Blue Source),EOS-CAR2011 Domestic,Ozone Depleting Substances,648454,Blue Source,http://www.bluesource.com/,El Dorado,AR
128,EOS Climate (Blue Source),EOS-JA-09-01,Ozone Depleting Substances,1017016,Blue Source,http://www.bluesource.com/,El Dorado,AR
129,EOS Climate (Blue Source),EOS ACR 2013,Ozone Depleting Substances,249025,Blue Source,http://www.bluesource.com/,El Dorado,AR
130,EOS Climate (Blue Source),EOS ACR 213,Ozone Depleting Substances,127664,Blue Source,http://www.bluesource.com/,El Dorado,AR
131,EOS Climate (Blue Source),EOS ACR 214,Ozone Depleting Substances,145580,Blue Source,http://www.bluesource.com/,El Dorado,AR
132,EOS Climate (Blue Source),EOS ACR 240,Ozone Depleting Substances,129700,Blue Source,http://www.bluesource.com/,El Dorado,AR
133,EOS Climate (Blue Source),EOS ACR 252,Ozone Depleting Substances,140736,Blue Source,http://www.bluesource.com/,Bowling Green,OH
134,EOS Climate (Blue Source),EOS ACR 253,Ozone Depleting Substances,135017,Blue Source,http://www.bluesource.com/,Bowling Green,OH
135,EOS Climate (Blue Source),EOS ACR 271,Ozone Depleting Substances,124882,Blue Source,http://www.bluesource.com/,Bowling Green,OH
136,EOS Climate (Blue Source),EOS ACR 285,Ozone Depleting Substances,45663,Blue Source,http://www.bluesource.com/,El Dorado,AR
137,EOS Climate (Blue Source),EOS ACR 311,Ozone Depleting Substances,107264,Blue Source,http://www.bluesource.com/,Clean Harbors,AR
138,EOS Climate (Blue Source),EOS ACR 312,Ozone Depleting Substances,140871,Blue Source,http://www.bluesource.com/,El Dorado,AR
